Projeto,Linguagem,Merges (Total)
angular,,4
angular.js,,36
atom,,4340
awesome-python,,452
bitcoin,,7716
bootstrap,,4351
Chart.js,,602
d3,,688
django,,656
elasticsearch,,5254
electron,,4198
express,,523
flask,,873
flutter,,1842
Font-Awesome,,156
go,,147
jquery,,250
json-server,,55
lantern,,2717
laravel,,1455
lodash,,192
meteor,,2222
moby,,15807
moment,,964
node,,393
oh-my-zsh,,1579
rails,,17398
react,,2486
react-native,,650
redux,,675
reveal.js,,447
RxJava,,1591
socket.io,,342
swift,,28323
tensorflow,,5817
three.js,,6079
TypeScript,,7587
vscode,,3846
vue,,140
